Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DameHeight,YearComissioned,Retrofit,lon,lat,projectID,YearDecommissioning
Bio 42,Bioenergy,OCGT,CHP,DE,0.36,,,,,01.07.1991,,6.586199882,50.87410129,{'JRC': ['00000']},
Bio 43,Bioenergy,OCGT,CHP,DE,0.245,,,,,31.12.1991,,12.17769468,48.17496376,{'JRC': ['00000']},
Bio 44,Bioenergy,OCGT,CHP,DE,0.05,,,,,12.02.1992,,8.643850915,48.16029849,{'JRC': ['00000']},
Bio 45,Bioenergy,OCGT,CHP,DE,0.748,,,,,26.03.1992,,9.361692204,51.09915402,{'JRC': ['00000']},
Bio 46,Bioenergy,OCGT,CHP,DE,0.124,,,,,01.06.1992,,9.151327908,47.68741513,{'JRC': ['00000']},
Bio 47,Bioenergy,OCGT,CHP,DE,1.1,,,,,01.08.1992,,6.359917952,51.29184621,{'JRC': ['00000']},
Bio 48,Bioenergy,OCGT,CHP,DE,0.06,,,,,01.08.1992,,12.12883742,47.71477009,{'JRC': ['00000']},
Bio 49,Bioenergy,OCGT,CHP,DE,0.5,,,,,03.09.1992,,8.900755633,51.96746017,{'JRC': ['00000']},
Bio 50,Bioenergy,OCGT,CHP,DE,0.03,,,,,22.10.1992,,11.93183968,48.59943056,{'JRC': ['00000']},
Bio 51,Bioenergy,OCGT,CHP,DE,0.15,,,,,26.11.1992,,10.08684545,48.00070081,{'JRC': ['00000']},
Bio 52,Bioenergy,OCGT,CHP,DE,1.035,,,,,30.11.1992,,6.143906268,51.1160369,{'JRC': ['00000']},
Bio 53,Bioenergy,OCGT,CHP,DE,0.374,,,,,31.12.1992,,13.00207852,47.58210074,{'JRC': ['00000']},
Bio 54,Bioenergy,OCGT,CHP,DE,0.028,,,,,01.01.1993,,10.08624893,49.2726286,{'JRC': ['00000']},
Bio 55,Bioenergy,OCGT,CHP,DE,3.972,,,,,19.01.1993,,6.649577431,50.58471278,{'JRC': ['00000']},
Bio 56,Bioenergy,OCGT,CHP,DE,0.0832,,,,,01.04.1993,,12.00467066,49.2238143,{'JRC': ['00000']},
Bio 57,Bioenergy,OCGT,CHP,DE,0.343,,,,,06.04.1993,,10.79661111,49.01958786,{'JRC': ['00000']},
Bio 58,Bioenergy,OCGT,CHP,DE,0.005,,,,,01.05.1993,,9.782497315,47.609598,{'JRC': ['00000']},
Bio 59,Bioenergy,OCGT,CHP,DE,1.5,,,,,01.06.1993,,9.248986142,53.9236035,{'JRC': ['00000']},
Bio 60,Bioenergy,OCGT,CHP,DE,0.25,,,,,07.06.1993,,8.220536513,49.44922609,{'JRC': ['00000']},
Bio 61,Bioenergy,OCGT,CHP,DE,0.015,,,,,24.06.1993,,12.11169446,48.48993096,{'JRC': ['00000']},
Bio 62,Bioenergy,OCGT,CHP,DE,0.15,,,,,01.07.1993,,14.05808715,51.03805347,{'JRC': ['00000']},
Bio 63,Bioenergy,OCGT,CHP,DE,28,,,,,15.08.1993,,11.67843322,50.41292219,{'JRC': ['00000']},
Bio 64,Bioenergy,OCGT,CHP,DE,0.38,,,,,19.08.1993,,12.80026439,51.3855275,{'JRC': ['00000']},
Bio 65,Bioenergy,OCGT,CHP,DE,0.26,,,,,01.09.1993,,9.880002591,47.78753662,{'JRC': ['00000']},
Bio 66,Bioenergy,OCGT,CHP,DE,0.112,,,,,01.10.1993,,8.621030288,50.58804005,{'JRC': ['00000']},
Bio 67,Bioenergy,OCGT,CHP,DE,0.045,,,,,01.01.1994,,8.031674686,48.63771288,{'JRC': ['00000']},
Bio 68,Bioenergy,OCGT,CHP,DE,0.04,,,,,01.01.1994,,10.08583903,49.18771533,{'JRC': ['00000']},
Bio 69,Bioenergy,OCGT,CHP,DE,2.78,,,,,01.01.1994,,9.82169347,52.41797309,{'JRC': ['00000']},
Bio 70,Bioenergy,OCGT,CHP,DE,0.015,,,,,01.01.1994,,10.08583903,49.18771533,{'JRC': ['00000']},
Bio 71,Bioenergy,OCGT,CHP,DE,1,,,,,01.01.1994,,10.11406702,54.4523166,{'JRC': ['00000']},
Bio 72,Bioenergy,OCGT,CHP,DE,0.015,,,,,01.01.1994,,10.01556654,49.34318701,{'JRC': ['00000']},
Bio 73,Bioenergy,OCGT,CHP,DE,5.26,,,,,17.01.1994,,13.53594015,52.78852439,{'JRC': ['00000']},
Bio 74,Bioenergy,OCGT,CHP,DE,0.074,,,,,24.01.1994,,9.11306776,49.1469473,{'JRC': ['00000']},
